# SPDX-License-Identifier: GPL-3.0-or-later
# DATASET TAG: MACHINE-DIGITIZED (pixel extraction from a published figure; not flight telemetry)
# Artemis I commanded bank angle vs time relative to Entry Interface (EI)
# Source: AAS 24-174 (NTRS 20240000024) Figure 12(a) "Bank Angle vs. Time",
#   blue "Commanded Bank Angle" trace, extracted from the native embedded raster
#   (PDF page 12, xref 402, 1554x1263 px; pure-color image, no antialiasing)
# Method + uncertainty: docs/digitization/artemis1_bank_commanded.md
# Validation: all six AAS 24-174 Table 3 reversal times reproduced within
#   -0.67..-0.07 s (gate +/-2 s); initial segment +14.9 deg consistent with the
#   paper's "pre-selected bank angle command was 0 deg ... limiting the bank
#   command to 15 deg" (p4); independent Figure 19 digitization agrees to
#   0.2-0.7 deg RMS on constant-command segments after correcting Figure 19's
#   own ~5.3-5.8 s epoch lead (a publication inconsistency, see methods doc)
# Uncertainty: amplitude ~+/-1 deg on holds; timing ~+/-1 s; pixel pitch
#   0.947 s/px, 0.374 deg/px
# Sign convention: signed bank EXACTLY as plotted in Figure 12(a). The paper
#   text defines no bank sign convention (pages 3-7 searched verbatim); the
#   physical meaning of the sign is locked only by the Gate-3 crossrange
#   comparison (see docs/gates/). Flagged for OpenReentry [APPROX-ROTATION].
# Columns:
#   time_rel_EI_s     - sample time, 0.5 s grid (nearest-pixel-column sampling,
#                       never interpolated; column pitch 0.947 s)
#   bank_cmd_deg      - commanded bank, signed degrees; EMPTY when flag != ok
#   flag              - ok | gap_occluded (commanded trace hidden under the
#                       actual-bank trace or event line; value withheld, not
#                       interpolated) | transition (vertical step connector in
#                       this pixel column; command steps here)
#   source_col_time_s - exact time of the source pixel column used
# Replay guidance: command is piecewise constant; hold the last 'ok' value
#   through gap_occluded/transition samples.
time_rel_EI_s,bank_cmd_deg,flag,source_col_time_s
32.5,,gap,32.498
33.0,,gap,33.445
33.5,,gap,33.445
34.0,,gap,34.391
34.5,,gap,34.391
35.0,,gap,35.338
35.5,,gap,35.338
36.0,15.28,ok,36.285
36.5,15.28,ok,36.285
37.0,,gap,37.232
37.5,,gap,37.232
38.0,,gap,38.178
38.5,,gap,38.178
39.0,,gap,39.125
39.5,,gap,39.125
40.0,,gap,40.072
40.5,,gap,40.072
41.0,,gap,41.019
41.5,15.28,ok,41.966
42.0,15.28,ok,41.966
42.5,15.28,ok,42.912
43.0,15.28,ok,42.912
43.5,15.09,ok,43.859
44.0,15.09,ok,43.859
44.5,14.90,ok,44.806
45.0,14.90,ok,44.806
45.5,14.90,ok,45.753
46.0,14.90,ok,45.753
46.5,14.90,ok,46.699
47.0,14.90,ok,46.699
47.5,14.90,ok,47.646
48.0,14.90,ok,47.646
48.5,14.90,ok,48.593
49.0,14.90,ok,48.593
49.5,14.90,ok,49.540
50.0,14.90,ok,49.540
50.5,14.90,ok,50.487
51.0,14.90,ok,51.433
51.5,14.90,ok,51.433
52.0,14.90,ok,52.380
52.5,14.90,ok,52.380
53.0,14.90,ok,53.327
53.5,14.90,ok,53.327
54.0,14.90,ok,54.274
54.5,14.90,ok,54.274
55.0,14.90,ok,55.220
55.5,14.90,ok,55.220
56.0,14.90,ok,56.167
56.5,14.90,ok,56.167
57.0,14.90,ok,57.114
57.5,14.90,ok,57.114
58.0,14.90,ok,58.061
58.5,14.90,ok,58.061
59.0,14.90,ok,59.008
59.5,14.90,ok,59.954
60.0,14.90,ok,59.954
60.5,14.90,ok,60.901
61.0,14.90,ok,60.901
61.5,14.90,ok,61.848
62.0,14.90,ok,61.848
62.5,14.90,ok,62.795
63.0,14.90,ok,62.795
63.5,14.90,ok,63.741
64.0,14.90,ok,63.741
64.5,14.90,ok,64.688
65.0,14.90,ok,64.688
65.5,14.90,ok,65.635
66.0,14.90,ok,65.635
66.5,14.90,ok,66.582
67.0,14.90,ok,66.582
67.5,15.09,ok,67.528
68.0,15.09,ok,67.528
68.5,15.09,ok,68.475
69.0,,gap,69.422
69.5,,gap,69.422
70.0,,gap,70.369
70.5,,gap,70.369
71.0,,gap,71.316
71.5,,gap,71.316
72.0,,gap,72.262
72.5,,gap,72.262
73.0,,gap,73.209
73.5,,gap,73.209
74.0,14.72,ok,74.156
74.5,14.72,ok,74.156
75.0,14.72,ok,75.103
75.5,14.72,ok,75.103
76.0,14.90,ok,76.049
76.5,14.90,ok,76.049
77.0,14.90,ok,76.996
77.5,14.90,ok,77.943
78.0,14.90,ok,77.943
78.5,14.90,ok,78.890
79.0,14.90,ok,78.890
79.5,14.90,ok,79.837
80.0,14.90,ok,79.837
80.5,14.90,ok,80.783
81.0,14.90,ok,80.783
81.5,14.90,ok,81.730
82.0,14.90,ok,81.730
82.5,,transition,82.677
83.0,,transition,82.677
83.5,,transition,83.624
84.0,,transition,83.624
84.5,,transition,84.570
85.0,,transition,84.570
85.5,,transition,85.517
86.0,,transition,86.464
86.5,,transition,86.464
87.0,,transition,87.411
87.5,,transition,87.411
88.0,,transition,88.358
88.5,,transition,88.358
89.0,,transition,89.304
89.5,,transition,89.304
90.0,,transition,90.251
90.5,,transition,90.251
91.0,,transition,91.198
91.5,,transition,91.198
92.0,,transition,92.145
92.5,,transition,92.145
93.0,,transition,93.091
93.5,,transition,93.091
94.0,,transition,94.038
94.5,,transition,94.038
95.0,,transition,94.985
95.5,,transition,95.932
96.0,,transition,95.932
96.5,,transition,96.879
97.0,,transition,96.879
97.5,,transition,97.825
98.0,,transition,97.825
98.5,,transition,98.772
99.0,,transition,98.772
99.5,,transition,99.719
100.0,,transition,99.719
100.5,,transition,100.666
101.0,,transition,100.666
101.5,,transition,101.612
102.0,,transition,101.612
102.5,,transition,102.559
103.0,,transition,102.559
103.5,,transition,103.506
104.0,,transition,104.453
104.5,,transition,104.453
105.0,,transition,105.400
105.5,,transition,105.400
106.0,,transition,106.346
106.5,,transition,106.346
107.0,,transition,107.293
107.5,,transition,107.293
108.0,72.86,ok,108.240
108.5,72.86,ok,108.240
109.0,72.30,ok,109.187
109.5,72.30,ok,109.187
110.0,71.55,ok,110.133
110.5,71.55,ok,110.133
111.0,71.37,ok,111.080
111.5,71.37,ok,111.080
112.0,70.99,ok,112.027
112.5,70.99,ok,112.027
113.0,71.18,ok,112.974
113.5,,transition,113.920
114.0,,transition,113.920
114.5,,transition,114.867
115.0,,transition,114.867
115.5,,transition,115.814
116.0,,transition,115.814
116.5,,transition,116.761
117.0,,transition,116.761
117.5,-72.41,ok,117.708
118.0,-72.41,ok,117.708
118.5,-73.53,ok,118.654
119.0,-73.53,ok,118.654
119.5,,transition,119.601
120.0,,transition,119.601
120.5,,transition,120.548
121.0,,transition,120.548
121.5,,transition,121.495
122.0,,transition,122.441
122.5,,transition,122.441
123.0,,transition,123.388
123.5,,transition,123.388
124.0,,transition,124.335
124.5,,transition,124.335
125.0,,transition,125.282
125.5,,transition,125.282
126.0,,transition,126.229
126.5,,transition,126.229
127.0,-86.24,ok,127.175
127.5,-86.24,ok,127.175
128.0,-87.18,ok,128.122
128.5,-87.18,ok,128.122
129.0,-87.55,ok,129.069
129.5,-87.55,ok,129.069
130.0,-87.93,ok,130.016
130.5,-88.30,ok,130.962
131.0,-88.30,ok,130.962
131.5,-88.68,ok,131.909
132.0,-88.68,ok,131.909
132.5,-89.05,ok,132.856
133.0,-89.05,ok,132.856
133.5,,gap,133.803
134.0,,gap,133.803
134.5,,gap,134.750
135.0,,gap,134.750
135.5,,gap,135.696
136.0,,gap,135.696
136.5,-88.68,ok,136.643
137.0,-88.68,ok,136.643
137.5,-88.68,ok,137.590
138.0,-88.68,ok,137.590
138.5,-88.68,ok,138.537
139.0,-88.68,ok,138.537
139.5,-88.68,ok,139.483
140.0,-88.49,ok,140.430
140.5,-88.49,ok,140.430
141.0,-88.49,ok,141.377
141.5,-88.49,ok,141.377
142.0,-88.30,ok,142.324
142.5,-88.30,ok,142.324
143.0,-88.30,ok,143.271
143.5,-88.30,ok,143.271
144.0,-88.30,ok,144.217
144.5,-88.30,ok,144.217
145.0,-88.30,ok,145.164
145.5,-88.30,ok,145.164
146.0,-87.74,ok,146.111
146.5,-87.74,ok,146.111
147.0,-87.55,ok,147.058
147.5,-87.55,ok,147.058
148.0,-87.55,ok,148.004
148.5,,gap,148.951
149.0,,gap,148.951
149.5,,gap,149.898
150.0,,gap,149.898
150.5,,gap,150.845
151.0,,gap,150.845
151.5,,gap,151.791
152.0,,gap,151.791
152.5,-87.74,ok,152.738
153.0,-87.74,ok,152.738
153.5,-87.93,ok,153.685
154.0,-87.93,ok,153.685
154.5,-87.93,ok,154.632
155.0,-87.93,ok,154.632
155.5,-87.93,ok,155.579
156.0,-87.93,ok,155.579
156.5,-87.93,ok,156.525
157.0,-87.93,ok,157.472
157.5,-87.93,ok,157.472
158.0,-87.93,ok,158.419
158.5,-87.93,ok,158.419
159.0,-87.93,ok,159.366
159.5,-87.93,ok,159.366
160.0,-87.93,ok,160.312
160.5,-87.93,ok,160.312
161.0,-87.93,ok,161.259
161.5,-87.93,ok,161.259
162.0,-88.11,ok,162.206
162.5,-88.11,ok,162.206
163.0,-88.11,ok,163.153
163.5,-88.11,ok,163.153
164.0,-87.93,ok,164.100
164.5,-87.93,ok,164.100
165.0,-87.93,ok,165.046
165.5,-87.93,ok,165.046
166.0,-87.93,ok,165.993
166.5,-87.93,ok,166.940
167.0,-87.93,ok,166.940
167.5,-87.93,ok,167.887
168.0,-87.93,ok,167.887
168.5,-87.93,ok,168.833
169.0,-87.93,ok,168.833
169.5,-87.93,ok,169.780
170.0,-87.93,ok,169.780
170.5,-87.93,ok,170.727
171.0,-87.93,ok,170.727
171.5,-87.93,ok,171.674
172.0,-87.93,ok,171.674
172.5,-87.93,ok,172.621
173.0,-87.93,ok,172.621
173.5,-87.55,ok,173.567
174.0,-87.55,ok,173.567
174.5,,gap,174.514
175.0,,gap,175.461
175.5,,gap,175.461
176.0,,gap,176.408
176.5,,gap,176.408
177.0,-88.11,ok,177.354
177.5,-88.11,ok,177.354
178.0,-88.11,ok,178.301
178.5,-88.11,ok,178.301
179.0,-87.93,ok,179.248
179.5,-87.93,ok,179.248
180.0,-87.55,ok,180.195
180.5,-87.55,ok,180.195
181.0,-87.18,ok,181.142
181.5,-87.18,ok,181.142
182.0,-87.18,ok,182.088
182.5,-87.18,ok,182.088
183.0,-86.99,ok,183.035
183.5,-86.99,ok,183.035
184.0,-86.99,ok,183.982
184.5,-86.62,ok,184.929
185.0,-86.62,ok,184.929
185.5,-86.62,ok,185.875
186.0,-86.62,ok,185.875
186.5,-86.43,ok,186.822
187.0,-86.43,ok,186.822
187.5,-85.68,ok,187.769
188.0,-85.68,ok,187.769
188.5,-85.31,ok,188.716
189.0,-85.31,ok,188.716
189.5,-85.31,ok,189.663
190.0,-85.31,ok,189.663
190.5,-85.31,ok,190.609
191.0,-85.31,ok,190.609
191.5,-85.31,ok,191.556
192.0,-85.31,ok,191.556
192.5,-85.31,ok,192.503
193.0,-85.31,ok,193.450
193.5,-85.31,ok,193.450
194.0,,transition,194.396
194.5,,transition,194.396
195.0,,transition,195.343
195.5,,transition,195.343
196.0,-86.99,ok,196.290
196.5,-86.99,ok,196.290
197.0,-88.30,ok,197.237
197.5,-88.30,ok,197.237
198.0,-88.30,ok,198.183
198.5,-88.30,ok,198.183
199.0,-88.30,ok,199.130
199.5,-88.30,ok,199.130
200.0,-88.68,ok,200.077
200.5,-88.68,ok,200.077
201.0,,gap,201.024
201.5,,gap,201.971
202.0,,gap,201.971
202.5,-87.93,ok,202.917
203.0,-87.93,ok,202.917
203.5,-88.11,ok,203.864
204.0,-88.11,ok,203.864
204.5,-88.30,ok,204.811
205.0,-88.30,ok,204.811
205.5,-88.30,ok,205.758
206.0,-88.30,ok,205.758
206.5,-88.30,ok,206.704
207.0,-88.30,ok,206.704
207.5,-88.30,ok,207.651
208.0,-88.30,ok,207.651
208.5,-88.30,ok,208.598
209.0,-88.30,ok,208.598
209.5,-88.30,ok,209.545
210.0,-88.30,ok,209.545
210.5,-88.30,ok,210.492
211.0,-88.30,ok,211.438
211.5,-88.30,ok,211.438
212.0,-88.30,ok,212.385
212.5,-88.30,ok,212.385
213.0,-88.30,ok,213.332
213.5,-88.30,ok,213.332
214.0,-88.30,ok,214.279
214.5,-88.30,ok,214.279
215.0,-88.30,ok,215.225
215.5,-88.30,ok,215.225
216.0,-88.30,ok,216.172
216.5,-88.30,ok,216.172
217.0,-86.81,ok,217.119
217.5,-86.81,ok,217.119
218.0,-86.62,ok,218.066
218.5,-86.62,ok,218.066
219.0,-86.62,ok,219.013
219.5,-85.31,ok,219.959
220.0,-85.31,ok,219.959
220.5,-85.31,ok,220.906
221.0,-85.31,ok,220.906
221.5,-85.31,ok,221.853
222.0,-85.31,ok,221.853
222.5,-85.31,ok,222.800
223.0,-85.31,ok,222.800
223.5,-85.31,ok,223.746
224.0,-85.31,ok,223.746
224.5,-85.31,ok,224.693
225.0,-85.31,ok,224.693
225.5,-85.31,ok,225.640
226.0,-85.31,ok,225.640
226.5,-85.31,ok,226.587
227.0,-85.31,ok,226.587
227.5,-85.50,ok,227.534
228.0,-85.50,ok,227.534
228.5,-85.50,ok,228.480
229.0,-85.31,ok,229.427
229.5,-85.31,ok,229.427
230.0,-85.31,ok,230.374
230.5,-85.31,ok,230.374
231.0,-85.31,ok,231.321
231.5,-85.31,ok,231.321
232.0,-85.31,ok,232.267
232.5,-85.31,ok,232.267
233.0,-85.31,ok,233.214
233.5,-85.31,ok,233.214
234.0,-85.31,ok,234.161
234.5,-85.31,ok,234.161
235.0,-85.31,ok,235.108
235.5,-85.31,ok,235.108
236.0,-85.31,ok,236.055
236.5,-85.31,ok,236.055
237.0,-85.31,ok,237.001
237.5,-85.31,ok,237.948
238.0,-85.31,ok,237.948
238.5,-85.12,ok,238.895
239.0,-85.12,ok,238.895
239.5,-85.12,ok,239.842
240.0,-85.12,ok,239.842
240.5,-85.12,ok,240.788
241.0,-85.12,ok,240.788
241.5,-85.12,ok,241.735
242.0,-85.12,ok,241.735
242.5,-85.12,ok,242.682
243.0,-85.12,ok,242.682
243.5,-85.12,ok,243.629
244.0,-85.12,ok,243.629
244.5,-85.12,ok,244.575
245.0,-85.12,ok,244.575
245.5,-84.94,ok,245.522
246.0,-84.94,ok,246.469
246.5,-84.94,ok,246.469
247.0,,gap,247.416
247.5,,gap,247.416
248.0,,gap,248.363
248.5,,gap,248.363
249.0,,gap,249.309
249.5,,gap,249.309
250.0,-85.87,ok,250.256
250.5,-85.87,ok,250.256
251.0,-85.87,ok,251.203
251.5,-85.87,ok,251.203
252.0,,gap,252.150
252.5,,gap,252.150
253.0,,gap,253.096
253.5,,gap,253.096
254.0,,gap,254.043
254.5,,gap,254.043
255.0,,gap,254.990
255.5,-85.87,ok,255.937
256.0,-85.87,ok,255.937
256.5,-85.87,ok,256.884
257.0,-85.87,ok,256.884
257.5,-85.68,ok,257.830
258.0,-85.68,ok,257.830
258.5,-85.68,ok,258.777
259.0,-85.68,ok,258.777
259.5,-85.68,ok,259.724
260.0,-85.68,ok,259.724
260.5,-85.68,ok,260.671
261.0,-85.68,ok,260.671
261.5,-85.68,ok,261.617
262.0,-85.68,ok,261.617
262.5,-85.68,ok,262.564
263.0,-85.68,ok,262.564
263.5,-85.68,ok,263.511
264.0,,transition,264.458
264.5,,transition,264.458
265.0,,transition,265.405
265.5,,transition,265.405
266.0,-87.37,ok,266.351
266.5,-87.37,ok,266.351
267.0,-88.68,ok,267.298
267.5,-88.68,ok,267.298
268.0,-88.68,ok,268.245
268.5,-88.68,ok,268.245
269.0,-88.68,ok,269.192
269.5,-88.68,ok,269.192
270.0,-88.68,ok,270.138
270.5,-88.68,ok,270.138
271.0,-88.86,ok,271.085
271.5,-88.86,ok,271.085
272.0,,gap,272.032
272.5,,gap,272.032
273.0,,gap,272.979
273.5,,gap,273.926
274.0,,gap,273.926
274.5,-88.30,ok,274.872
275.0,-88.30,ok,274.872
275.5,-88.68,ok,275.819
276.0,-88.68,ok,275.819
276.5,-88.68,ok,276.766
277.0,-88.68,ok,276.766
277.5,-88.68,ok,277.713
278.0,-88.68,ok,277.713
278.5,-88.68,ok,278.659
279.0,-88.68,ok,278.659
279.5,-88.68,ok,279.606
280.0,-88.68,ok,279.606
280.5,-88.68,ok,280.553
281.0,-88.68,ok,280.553
281.5,-88.68,ok,281.500
282.0,-88.68,ok,282.446
282.5,-88.68,ok,282.446
283.0,-88.68,ok,283.393
283.5,-88.68,ok,283.393
284.0,-88.68,ok,284.340
284.5,-88.68,ok,284.340
285.0,-88.68,ok,285.287
285.5,-88.68,ok,285.287
286.0,-88.68,ok,286.234
286.5,-88.68,ok,286.234
287.0,-88.68,ok,287.180
287.5,-88.68,ok,287.180
288.0,-88.68,ok,288.127
288.5,-88.68,ok,288.127
289.0,-88.68,ok,289.074
289.5,-88.68,ok,289.074
290.0,-88.68,ok,290.021
290.5,-88.49,ok,290.967
291.0,-88.49,ok,290.967
291.5,-88.49,ok,291.914
292.0,-88.49,ok,291.914
292.5,-88.30,ok,292.861
293.0,-88.30,ok,292.861
293.5,,gap,293.808
294.0,,gap,293.808
294.5,,gap,294.755
295.0,,gap,294.755
295.5,-90.73,ok,295.701
296.0,-90.73,ok,295.701
296.5,-90.73,ok,296.648
297.0,-90.73,ok,296.648
297.5,-90.54,ok,297.595
298.0,-90.54,ok,297.595
298.5,-91.67,ok,298.542
299.0,-91.67,ok,298.542
299.5,-91.67,ok,299.488
300.0,-91.67,ok,300.435
300.5,-91.67,ok,300.435
301.0,-91.67,ok,301.382
301.5,-91.67,ok,301.382
302.0,-91.67,ok,302.329
302.5,-91.67,ok,302.329
303.0,-91.67,ok,303.276
303.5,-91.67,ok,303.276
304.0,-91.67,ok,304.222
304.5,-91.67,ok,304.222
305.0,-91.67,ok,305.169
305.5,-91.67,ok,305.169
306.0,-91.67,ok,306.116
306.5,-91.67,ok,306.116
307.0,-91.67,ok,307.063
307.5,-91.67,ok,307.063
308.0,-91.67,ok,308.009
308.5,-91.67,ok,308.956
309.0,-91.67,ok,308.956
309.5,-91.67,ok,309.903
310.0,-91.67,ok,309.903
310.5,-91.67,ok,310.850
311.0,-91.67,ok,310.850
311.5,-91.67,ok,311.797
312.0,-91.67,ok,311.797
312.5,-91.67,ok,312.743
313.0,-91.67,ok,312.743
313.5,-91.67,ok,313.690
314.0,-91.67,ok,313.690
314.5,-91.67,ok,314.637
315.0,-91.67,ok,314.637
315.5,-91.67,ok,315.584
316.0,-91.67,ok,315.584
316.5,-91.85,ok,316.530
317.0,-91.85,ok,316.530
317.5,-92.04,ok,317.477
318.0,,gap,318.424
318.5,,gap,318.424
319.0,,gap,319.371
319.5,,gap,319.371
320.0,-91.29,ok,320.318
320.5,-91.29,ok,320.318
321.0,-91.48,ok,321.264
321.5,-91.48,ok,321.264
322.0,-91.67,ok,322.211
322.5,-91.67,ok,322.211
323.0,-91.67,ok,323.158
323.5,-91.67,ok,323.158
324.0,-91.67,ok,324.105
324.5,-91.67,ok,324.105
325.0,-91.67,ok,325.051
325.5,-91.67,ok,325.051
326.0,-91.67,ok,325.998
326.5,-91.67,ok,326.945
327.0,-91.67,ok,326.945
327.5,-91.67,ok,327.892
328.0,-91.67,ok,327.892
328.5,-91.67,ok,328.838
329.0,-91.67,ok,328.838
329.5,-91.67,ok,329.785
330.0,-91.67,ok,329.785
330.5,-91.67,ok,330.732
331.0,-91.67,ok,330.732
331.5,-91.67,ok,331.679
332.0,-91.67,ok,331.679
332.5,-91.67,ok,332.626
333.0,-91.67,ok,332.626
333.5,-91.67,ok,333.572
334.0,-91.67,ok,333.572
334.5,-91.67,ok,334.519
335.0,-91.67,ok,335.466
335.5,-91.67,ok,335.466
336.0,-91.67,ok,336.413
336.5,-91.67,ok,336.413
337.0,-91.67,ok,337.359
337.5,-91.67,ok,337.359
338.0,-91.67,ok,338.306
338.5,-91.67,ok,338.306
339.0,-91.67,ok,339.253
339.5,-91.67,ok,339.253
340.0,-91.67,ok,340.200
340.5,-91.67,ok,340.200
341.0,-91.67,ok,341.147
341.5,-91.67,ok,341.147
342.0,-91.67,ok,342.093
342.5,-91.67,ok,342.093
343.0,-91.67,ok,343.040
343.5,-91.67,ok,343.040
344.0,-91.67,ok,343.987
344.5,-91.67,ok,344.934
345.0,-91.67,ok,344.934
345.5,-91.67,ok,345.880
346.0,-91.67,ok,345.880
346.5,-91.67,ok,346.827
347.0,-91.67,ok,346.827
347.5,-91.67,ok,347.774
348.0,-91.67,ok,347.774
348.5,-91.67,ok,348.721
349.0,-91.67,ok,348.721
349.5,-91.67,ok,349.668
350.0,-91.67,ok,349.668
350.5,-91.67,ok,350.614
351.0,-91.67,ok,350.614
351.5,-91.67,ok,351.561
352.0,-91.67,ok,351.561
352.5,-91.48,ok,352.508
353.0,-91.48,ok,353.455
353.5,-91.48,ok,353.455
354.0,-91.48,ok,354.401
354.5,-91.48,ok,354.401
355.0,-91.48,ok,355.348
355.5,-91.48,ok,355.348
356.0,-91.48,ok,356.295
356.5,-91.48,ok,356.295
357.0,-91.67,ok,357.242
357.5,-91.67,ok,357.242
358.0,-91.67,ok,358.189
358.5,-91.67,ok,358.189
359.0,-91.67,ok,359.135
359.5,-91.67,ok,359.135
360.0,-91.67,ok,360.082
360.5,-91.67,ok,360.082
361.0,-91.67,ok,361.029
361.5,-91.67,ok,361.029
362.0,-91.48,ok,361.976
362.5,-91.48,ok,362.922
363.0,-91.48,ok,362.922
363.5,-91.48,ok,363.869
364.0,-91.48,ok,363.869
364.5,-91.29,ok,364.816
365.0,-91.29,ok,364.816
365.5,-91.29,ok,365.763
366.0,-91.29,ok,365.763
366.5,,gap,366.710
367.0,,gap,366.710
367.5,,gap,367.656
368.0,,gap,367.656
368.5,,gap,368.603
369.0,,gap,368.603
369.5,,gap,369.550
370.0,,gap,369.550
370.5,-92.04,ok,370.497
371.0,-92.04,ok,371.443
371.5,-92.04,ok,371.443
372.0,-92.04,ok,372.390
372.5,-92.04,ok,372.390
373.0,-91.85,ok,373.337
373.5,-91.85,ok,373.337
374.0,-91.85,ok,374.284
374.5,-91.85,ok,374.284
375.0,-91.85,ok,375.230
375.5,-91.85,ok,375.230
376.0,-91.85,ok,376.177
376.5,-91.85,ok,376.177
377.0,-91.85,ok,377.124
377.5,-91.85,ok,377.124
378.0,-92.04,ok,378.071
378.5,-92.04,ok,378.071
379.0,-92.04,ok,379.018
379.5,-92.04,ok,379.964
380.0,-92.04,ok,379.964
380.5,-92.04,ok,380.911
381.0,-92.04,ok,380.911
381.5,-92.04,ok,381.858
382.0,-92.04,ok,381.858
382.5,-92.04,ok,382.805
383.0,-92.04,ok,382.805
383.5,-92.04,ok,383.751
384.0,-92.04,ok,383.751
384.5,-92.04,ok,384.698
385.0,-92.04,ok,384.698
385.5,-91.85,ok,385.645
386.0,-91.85,ok,385.645
386.5,-91.85,ok,386.592
387.0,-91.85,ok,386.592
387.5,-91.85,ok,387.539
388.0,-91.85,ok,387.539
388.5,-91.67,ok,388.485
389.0,,transition,389.432
389.5,,transition,389.432
390.0,,transition,390.379
390.5,,transition,390.379
391.0,,transition,391.326
391.5,,transition,391.326
392.0,91.56,ok,392.272
392.5,91.56,ok,392.272
393.0,91.56,ok,393.219
393.5,91.56,ok,393.219
394.0,91.56,ok,394.166
394.5,91.56,ok,394.166
395.0,91.56,ok,395.113
395.5,91.56,ok,395.113
396.0,91.56,ok,396.060
396.5,91.56,ok,396.060
397.0,91.56,ok,397.006
397.5,91.56,ok,397.953
398.0,91.56,ok,397.953
398.5,,gap,398.900
399.0,,gap,398.900
399.5,,gap,399.847
400.0,,gap,399.847
400.5,,gap,400.793
401.0,,gap,400.793
401.5,91.56,ok,401.740
402.0,91.56,ok,401.740
402.5,91.56,ok,402.687
403.0,91.56,ok,402.687
403.5,91.56,ok,403.634
404.0,91.56,ok,403.634
404.5,91.56,ok,404.581
405.0,91.56,ok,404.581
405.5,91.56,ok,405.527
406.0,91.56,ok,405.527
406.5,91.56,ok,406.474
407.0,91.56,ok,407.421
407.5,91.56,ok,407.421
408.0,,gap,408.368
408.5,,gap,408.368
409.0,,gap,409.314
